Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Altallama,New Quantity Altallama,Stock Alert Enabled Altallama,Stock Alert Count Altallama,Tax - Impuesto escolar (4%),Tax - impuesto ventas (21%)
EYYE4UQUTX2LSHBEEAGN733P,ACETATO A3 FINO,,Normal,,Y485028,,"Papel y Soportes, Papel y Soportes > Papel japonés y especial",Papel y Soportes,,,,,,Physical good,,,,N,N,N,Y,0.45,,N,,N,,N,,,8,,,,N,Y
AZFXDTTMTOC4CJKW4CN2EQG2,ACETATO A3 GRUESO,,Normal,,922962K,,"Papel y Soportes, Papel y Soportes > Papel japonés y especial",Papel y Soportes,,,,,,Physical good,,,,N,N,N,Y,1.50,,N,,N,,N,,,11,,,,N,Y
WTE5C46VO55TQIQYTDC4PVXT,ACETATO POLIVINILO_1L,,,,3721674,Material artístico de calidad para uso profesional y educativo.,"Barnices y Mediums, Barnices y Mediums > Barnices para acrílico",Barnices y Mediums,,,,,,Physical good,,,,N,N,N,Y,10.00,,N,,N,,N,,,12,,,,N,Y
PBTG6N2ONP7DG73WJHOP43YX,ALPINO_CHARCOAL_LÁPIZ,,Normal,,4645409,,Lápices y Grafito > Lápices,Lápices y Grafito > Lápices,,,,,visible,Physical good,,,,N,N,N,Y,1.80,,N,,N,,N,,,8,,,,N,Y
4UEGXEIBBNSMMWPPDIQX4IZE,AMSTERDAM_105_120ML,,,,5345535,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158088,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
53PZOR2DSC6LIFJRDAZGIQ45,AMSTERDAM_222_120ML,,,,388496R,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079267971,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
S7ATFKHQIXEWDWNDSYYKYMJI,AMSTERDAM_223_120ML,,,,3867429,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079210977,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
OZSUS5YZWDXVDP5HBRLRZEPE,AMSTERDAM_224_120ML,,,,Z860437,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079210984,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,3,,,,N,Y
T4IL6SR57A2PUG3P4JFFVF3Y,AMSTERDAM_227_120ML,,,,L331282,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158101,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,4,,,,N,Y
JNAZPYR3HPJXX2TBGJB2UE75,AMSTERDAM_231_120ML,,,,B382429,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079267988,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
XNXMHRL6NMUMBBYFH6YU5NH2,AMSTERDAM_234_120ML,,,,7783430,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158125,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
ICAXFK2VVOZIRTE7A5ALCMXB,AMSTERDAM_243_120ML,,,,685392D,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079267995,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
JXCMYOWKGXXXT27R5KGC5Q2H,AMSTERDAM_253_120ML,,,,Y478220,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268008,,Physical good,,,,N,N,N,Y,8.60,,N,,N,,N,,,7,,,,N,Y
NHUA7DHXDQQ5Z5F4KRDXIU2D,AMSTERDAM_256_METAL/FLUO_120ML,,,,X793517,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079279172,,Physical good,,,,N,N,N,Y,8.60,,N,,N,,N,,,6,,,,N,Y
KJVTDVKGEOF4CM4MKB7UK2WD,AMSTERDAM_257_METAL/FLUO_120ML,,,,V266209,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079279189,,Physical good,,,,N,N,N,Y,8.60,,N,,N,,N,,,0,,,,N,Y
QB5TAFVEB42VAUHVYXXJQ52J,AMSTERDAM_267_120ML,,,,V683935,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158149,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,8,,,,N,Y
TLOISZB6GD3UZGYDXFKAVEVF,AMSTERDAM_268_120ML,,,,K028932,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079210991,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
WYKOLYQ3QJS2ZA556BZRAHWQ,AMSTERDAM_269_120ML,,,,257962F,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268015,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,2,,,,N,Y
IN3DDRAD5LT6ZYWWYTJWD3NB,AMSTERDAM_270_120ML,,,,133148F,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158187,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
OOBYLZ26IX52J7W3PJURJV6E,AMSTERDAM_272_120ML,,,,916888G,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268022,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
SP25ZQNQLANBD3XS3LWN6DTP,AMSTERDAM_274_120ML,,,,K027103,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268039,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,4,,,,N,Y
VHU332TLFGHFWF6YHZCY4FAU,AMSTERDAM_275_120ML,,,,971237J,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079159610,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
PIMTBM36J6LDMRRYGX3CHSW2,AMSTERDAM_276_120ML,,,,564701Z,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158200,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
4BJWLLZSXYUPOZYQZIWLKGKH,AMSTERDAM_282_120ML,,,,5690032,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268046,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
DVGIBDS7X634GKEKIVXBW3EX,AMSTERDAM_289_120ML,,,,864312G,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268053,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
CGQUB64NVN5NX5PSEBYWKGT7,AMSTERDAM_290_120ML,,,,B304516,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268060,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,11,,,,N,Y
TBRMK5XU2DZ5DC4VT7SSGOQP,AMSTERDAM_292_120ML,,,,B529841,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268077,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,3,,,,N,Y
6HKFIGJKJOESABZNTRABQNWI,AMSTERDAM_311_120ML,,,,F033963,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268084,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
JNBVYFTCTIHRYHAH44GYR2TD,AMSTERDAM_315_120ML,,,,5622247,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268091,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
HULLHKKVPFQAPULNQCDOKGJS,AMSTERDAM_316_120ML,,,,R650730,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268107,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
SNS7LHJNWYGSD63M6F5JGW2S,AMSTERDAM_317_120ML,,,,682972A,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268114,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
Y2KW5ADYCGISLRELLR426XAF,AMSTERDAM_318_120ML,,,,9707290,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158224,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
WUQ5RYDZ36Y2LIYOBMKVFVKT,AMSTERDAM_330_120ML,,,,G300583,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268121,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
FJYXKN47N533XAHGVMXDAZGO,AMSTERDAM_344_120ML,,,,P969882,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268138,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
OUJ6VNJ3BC7HZDYRLRSXAZ4I,AMSTERDAM_348_120ML,,,,863732G,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268145,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
DILB27Q5CBNS2ITBZ6IXLCOY,AMSTERDAM_361_120ML,,,,8818302,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268152,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
NH22QV3C3KF4YVKTKSILGAV6,AMSTERDAM_366_120ML,,,,3762605,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268169,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
EQCCKCAE5GCMR7WECN7D4OW4,AMSTERDAM_369_120ML,,,,5228971,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079159634,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,2,,,,N,Y
UTKDXXHL6EMX3IAREUWFSTLU,AMSTERDAM_384_METAL/FLUO_120ML,,,,R005705,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079279196,,Physical good,,,,N,N,N,Y,8.60,,N,,N,,N,,,4,,,,N,Y
74GF26OYDYINZGKQZ5RX6KIQ,AMSTERDAM_385_120ML,,,,Z534360,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268176,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
ASLZXFQ3QOQV4EHJDZONRUUS,AMSTERDAM_396_120ML,,,,3688174,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158262,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,0,,,,N,Y
FJ2YNFH4HIA6DF233QNZATP6,AMSTERDAM_398_120ML,,,,L269171,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158286,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
KIOTSC2ZUA5OYB7QZUZYRLFN,AMSTERDAM_399_120ML,,,,751859J,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079211011,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
PVV5WV5M2FFXEMM6YKI67CPP,AMSTERDAM_403_120ML,,,,552381K,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158309,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
WFWZBPYBC44533W65ZLCN7PT,AMSTERDAM_408_120ML,,,,353154J,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079211028,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
6O72FBV34V3XPTWAI6AAZ24Y,AMSTERDAM_409_120ML,,,,6714628,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158323,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
PKSS2HSXLXQZ35KFP4UQT6LZ,AMSTERDAM_411_120ML,,,,7559056,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158347,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,3,,,,N,Y
NWPRB47QRPNCVHYYB2ZZNGLG,AMSTERDAM_504_120ML,,Normal,,C737962,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158361,,Physical good,,,,,,,Y,6.60,,N,,N,,N,,,5,,,,N,Y
RB4CVM4H5A7K7FDT6HDHODEB,AMSTERDAM_505_120ML,,,,378825X,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079533359,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,1,,,,N,Y
J3C42Y6D55EKJGKL3LC7WU5H,AMSTERDAM_507_120ML,,,,Q943092,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268183,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
7AUA4AWUBTJ4YYOI47I3TEWG,AMSTERDAM_512_120ML,,,,756575E,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158385,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
VHEVHEA2RXACWREJBEEBT4IT,AMSTERDAM_517_120ML,,,,7524142,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268190,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
47DJDYLYRTUJ2Q6KOL2VXUXO,AMSTERDAM_519_120ML,,,,110771E,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268206,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
USEFZABBXSUFZQPCXKLSIHFU,AMSTERDAM_522_120ML,,,,3085510,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268213,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
3WSELMZ4F5O2JPDQFPK2BLJ6,AMSTERDAM_551_120ML,,,,219842L,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268220,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,2,,,,N,Y
7JNR73UCPXJH7XAMHMH5LWJV,AMSTERDAM_557_120ML,,,,165109K,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268237,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
LGIYMYCZFS55R33CF45Z6VJ2,AMSTERDAM_562_120ML,,,,K296983,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268244,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
JHBUVPLC3NKFLINOUCMYFHJQ,AMSTERDAM_564_120ML,,,,163930C,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158408,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,13,,,,N,Y
RXCBNI4X6FFJ73XZWBKWTVFW,AMSTERDAM_566_120ML,,,,1340814,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,8,,,,N,Y
U4KEA6EV47N34F23UD2GHJOC,AMSTERDAM_567_120ML,,,,5025459,Material artístico de calidad para uso profesional y educativo.,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268251,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,8,,,,N,Y
BNP5X6Y2AIHDSNDC4QX3PL54,AMSTERDAM_568_120ML,,,,N188706,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158422,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
UOS6ZCCJIRNJHCUNRLG337JV,AMSTERDAM_570_120ML,,,,292228L,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079211042,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
ZAHUVGFKVSFFJ2NSAR5LW3WG,AMSTERDAM_572_120ML,,,,G390925,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,871207915965887,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,0,,,,N,Y
GJMGYXS6334QI2CXT6BSSS4L,AMSTERDAM_577_120ML,,,,237340Z,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268268,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,7,,,,N,Y
UYDUXJ6WHWNWYWCECKDVWBQ4,AMSTERDAM_582_120ML,,,,B253412,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268275,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
LSDK3OMW7SKK3UPPIRAUMNEL,AMSTERDAM_605_120ML,,,,5828242,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268282,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,5,,,,N,Y
G3VAFII267ZBKSEVHFVGRPWQ,AMSTERDAM_615_120ML,,,,372187F,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158460,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,4,,,,N,Y
BHRFLBBVOF2YTMTRHNLUGZLR,AMSTERDAM_617_120ML,,Normal,,825978H,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079211059,,Physical good,,,,,,,Y,6.60,,N,,N,,N,,,4,,,,N,Y
PQSQOMPXZES2H2XMRTQUIB6Y,AMSTERDAM_618_120ML,,,,321074B,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158484,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
ZSMYGHYPHNIHVINX7AK2BEYD,AMSTERDAM_619_120ML,,,,2298263,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158507,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
SYZ47OCQHTGIW4YGDJGLHWEA,AMSTERDAM_621_120ML,,,,3475638,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268299,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,8,,,,N,Y
OPUD6ML6PC6QBQKUNBB3CVAV,AMSTERDAM_622_120ML,,,,3623472,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079268305,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
BYGIUQ2MJFJVSVTNK23HZ26I,AMSTERDAM_623_120ML,,,,5474526,,Pintura > Pintura Acrílica,Pintura > Pintura Acrílica,,,,8712079158521,,Physical good,,,,N,N,N,Y,6.60,,N,,N,,N,,,6,,,,N,Y
